uncertainty_bin,mean_sigma,mean_abs_error,coverage_90,n
"(0.637, 0.731]",0.6479566142114073,0.4745973129068246,0.900709219858156,141
"(0.731, 1.045]",0.8886143655845343,0.5703390000904001,0.9432624113475178,141
"(1.045, 1.296]",1.1649931469330745,0.7686586038426235,0.9361702127659575,141
"(1.296, 1.539]",1.4235881516629032,0.8038720501992114,0.9716312056737588,141
"(1.539, 1.774]",1.6502208710950685,0.8557256078764021,0.9858156028368794,141
"(1.774, 2.002]",1.883394521133837,1.096419322913554,0.9858156028368794,141
"(2.002, 2.388]",2.189147691601574,1.2053931950800552,0.9858156028368794,141
"(2.388, 4.589]",2.7793400669513413,1.9710085364745713,0.9432624113475178,141
