representation,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
graph_plus_fingerprints,0.7797722027824406,0.06100410595937339,0.5715247716513435,0.03595721901582934,0.8396295764789027,0.06468829381110297
graph_proxy_only,0.7900694532351693,0.06835777732414652,0.5827131820512406,0.042821203239036286,0.8366483044241273,0.06391103939825907
graph_fingerprint_descriptor_fusion,0.7916551908469184,0.07513797415613853,0.5813651751106326,0.041125932562134995,0.8338520559407252,0.06862036965840694
graph_plus_descriptors,0.8010621546480406,0.07401864106173463,0.5874926808789531,0.0396892443594817,0.8303349520102966,0.0693058726442771
descriptors_only,0.8666392375481115,0.08660510621689937,0.6398763995862715,0.050380462152348336,0.7983735358392041,0.09029004047374113
fingerprints_only,1.2989108814800527,0.1962153155374817,0.9902698634552655,0.1855129225253591,0.5285263018525456,0.3178761258078552
